,id,content,name,subject,date,image_url,material,origin
124,25136,Report of Litigation (?),p.dura.14,Akten? (Gericht?),spätes I - frühes II,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100290000,Pergament / Leder,Dura - Europos
125,25137,Registry Roll of Copies,p.dura.16,Kopien Auszüge Testament Register Verträge,spätes I,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100280031,Pergament,Dura - Europos
126,17216,Deed of Gift,p.dura.18,Schenkung Besitz Darlehen Sklaven Ehe,28. Juli 87,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100210000,Pergament,Dura - Europos
127,17217,Mutual Distribution,p.dura.19,Teilung Erbschaft Haus Geld Vertrag,88 - 89,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100400000,Pergament,Dura - Europos
128,27074,Antichretic Loan,p.dura.21,Vertrag Darlehen Geld Antichresis Dienst Arbeit,1. Hälfte II,,Pergament,Dura - Europos
129,27075,Fragmentary Contract,p.dura.35,Vertrag Kauf (?),II,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100390000,Pergament,Dura - Europos
130,27076,Fragmentary Contract,p.dura.36,Vertrag unbestimmbar Namen (?),II,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100310000,Pergament,Dura - Europos
131,17218,Antichretic Loan,p.dura.20,Vertrag Darlehen Geld Antichresis Dienst Arbeit,29. Juni 121,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100100000,Pergament,Paliga (Iardas in der Nähe von Dura - Europos)
132,17219,Loan on Security,p.dura.22,Vertrag Darlehen Geld,133 - 134,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100130000,Pergament,Dura - Europos
133,17220,Antichretic Loan,p.dura.23,Vertrag Darlehen Geld Antichresis Wein,29. Okt. 133,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100320000,Pergament,Ossa (in der Nähe von Dura - Europos)
134,17221,Acknowledgement of Indebtedness,p.dura.24,Vertrag (?) Darlehen (?) Geld Anichresis (?) Schuld Bestätigung,159 - 160,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100260000,Pergament,Dura - Europos
135,27077,Fragmentary Contract,p.dura.37,Titulatur,spätes II,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100340000,Pergament,Dura - Europos
136,17215,Registry Roll of Copies,p.dura.17,Kopien Auszüge Verträge Register Darlehen Zession Land Geld Schenkung Sklaven Darlehen Rückzahlung Hypothek Besitz Antichresis,ca. 180,,Leder,Dura - Europos
137,30496,Fragmentary Contract,p.dura.42,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400820000,Papyrus,Dura - Europos
138,30498,Private Letter from a Soldier,p.dura.46,Brief (privat) Barsabbathas an Heliodoros Grüße Flucht,frühes III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400750000,Papyrus,Antiocheia
139,30499,Assessment of the Tribe of Zebeinas,p.dura.47,Liste Namen Abgaben,III,,Pergament,Dura - Europos
140,30500,List of Arabs,p.dura.49,Liste Namen,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100300000,Pergament,Dura - Europos
141,30501,Fragmentary List of Names,p.dura.50,Liste Namen Geld,III,,Pergament,Dura - Europos
142,30506,Greek Fragment,p.dura.146,unbestimmbar,III (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100180000,Pergament,Dura - Europos
143,30494,Fragmentary Contract,p.dura.38,unbestimmbar Namen,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100270000,Pergament,Dura - Europos
144,17214,Extract from the Registry Law of Succession,p.dura.12,Auszug Gesetz Erbschaft,225 - 250,,Pergament / Leder,Dura - Europos
145,44851,List of Names,p.dura.119,Liste Namen,ca. 230 - 240,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100160000,Pergament,Dura - Europos
146,17230,Inventory of Personal Effects,p.dura.33,Liste Kleidung,240 - 250,,Pergament/ Leder,Dura - Europos
147,44826,Summary of Dispositions of Soldiers,p.dura.94,Liste Soldaten,ca. 240,,Pergament,Dura - Europos
148,44844,Guard Roster?. Centuries and Numerals,p.dura.112,Dienst Plan Wache (?) Militär Zenturien,241 - 250,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100170000,Pergament,Dura - Europos
149,44841,Guard Roster,p.dura.109,Dienst Plan Wache,242 - 256,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100140000,Pergament,Dura - Europos
150,44842,Guard Roster,p.dura.110,Dienst Plan Wache,242 - 256,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100190000,Pergament,Dura - Europos
151,44843,Uncertain Fragment,p.dura.111,Fragment unbestimmbar Dienstplan (?),242 - 256,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100150000,Pergament,Dura - Europos
152,17225,Syriac Deed of Sale,p.dura.28,"Griechische Unterschriften (Vertrag, Kauf, Sklavin, Geld)",243,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100200000,Pergament,Dura - Europos
153,31114,Entfernungsangaben für eine römische Straße,sb.6.9584,Liste Angaben über Entfernungen,III,,Pergament,Dura - Europos
154,17234,List of Women,p.dura.48,Liste Namen,ca. 250,,Pergament,Dura - Europos
155,60015,TM 60015,60015,literature classical Herodotus; Historiae 05.113-114,100 - 199,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
156,63444,P. Dura. 4,63444,literature classical prose,100 - 199,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
157,63445,P. Dura. 6,63445,literature classical prose,100 - 199,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
158,63446,P. Dura. 5,63446,literature classical prose,100 - 199,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
159,59208,TM 59208,59208,literature classical Appianus; Bellum civile 2.8; Iberica 16,200 - 299,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
160,64014,TM 64014,64014,literature classical Demosthenes; In Aristocratem (023).55,200 - 299,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
161,64015,P. Dura. 9,64015,literature classical prose,200 - 299,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
162,64016,P. Dura. 8,64016,literature classical prose,200 - 299,,papyrus,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
163,60444,P. Dura. 3,60444,"literature science classical Homerus, Homerica; glossary to Ilias 04.302-316",100 - 199,,parchment,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
164,171914,P. Dura. 11,171914,religion Jewish,200 - 299,,parchment,"Found: Doura (Mesopotamia, Syria); written: Doura (Mesopotamia, Syria)"
165,44795,keiner,p.dura.66,Brief N.N. an N.N. Militär,Juli 216,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400130031,Papyrus,Dura - Europos
